2018-02-08 00:00:01 
2018-02-08 08:08:47 {"auth_code":"287673430849966466","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808084811","total_fee":"290","sign":"53641FA00A0B3EE7CC691E32C3763725"}
2018-02-08 08:08:50 {"transaction_id":"91518048528168225551","price":290}
2018-02-08 08:08:56 {"auth_code":"134562061449310505","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808085812","total_fee":"290","sign":"47664E09951286BBDB10261367C453BD"}
2018-02-08 08:08:58 {"transaction_id":"UD180208080856000000000001061495","price":290}
2018-02-08 08:11:25 {"auth_code":"286829271209276243","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808112611","total_fee":"1490","sign":"34B7AC27CF5C3D7B79ED0C68B471B619"}
2018-02-08 08:11:27 {"transaction_id":"91518048686009009043","price":1490}
2018-02-08 08:12:49 {"auth_code":"283399093781919793","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808125111","total_fee":"1400","sign":"E84267EC16EB86BB487AC16F70913985"}
2018-02-08 08:12:52 {"transaction_id":"91518048770565508548","price":1400}
2018-02-08 08:13:20 {"auth_code":"136408475735303004","bill_create_ip":"192.168.0.102","device_no":"994","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"20180208081320994","total_fee":"500","sign":"9754083003DAB66227036FD2C80B2B1A"}
2018-02-08 08:13:22 {"transaction_id":"4200000064201802089090639552","price":500}
2018-02-08 08:14:39 {"auth_code":"286151591531209475","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808144011","total_fee":"2120","sign":"AFC9C08F91BC7F2619C0F3E108E01482"}
2018-02-08 08:14:42 {"transaction_id":"91518048880228429551","price":2120}
2018-02-08 08:15:53 {"auth_code":"136326042834449512","bill_create_ip":"192.168.0.102","device_no":"994","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"20180208081554994","total_fee":"100","sign":"F2F5F4CD0A83EB5745FCF16853B2890A"}
2018-02-08 08:15:55 {"transaction_id":"4200000064201802089060041364","price":100}
2018-02-08 08:17:46 {"auth_code":"134999758028446652","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808174711","total_fee":"200","sign":"2E4453482CBF982B24EB25B42D902D69"}
2018-02-08 08:17:48 {"transaction_id":"UD180208081746000000000001111887","price":200}
2018-02-08 08:18:51 {"auth_code":"286616374246583716","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808185312","total_fee":"830","sign":"C6DB0ED05C1E04EF2988B72166AB32CF"}
2018-02-08 08:18:53 {"transaction_id":"91518049131839996540","price":830}
2018-02-08 08:21:11 {"auth_code":"134607956547545788","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802080821128008171100101937","total_fee":"800","sign":"52551A9987DB75EFB79A48D35D1A3A09"}
2018-02-08 08:21:14 {"transaction_id":"UD180208A01175300308211200040509","price":800}
2018-02-08 08:21:46 {"auth_code":"134760927448743530","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020808214711","total_fee":"540","sign":"ADD5737241ABAB606DB53C84F7854E6F"}
